Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2025,12,שישי,3700,תל אביב מרכז,6121,05:47:00,67.0,0.0
2026,1,יום חול,4900,,713,05:47:00,,
2026,1,יום חול,4900,תל אביב ההגנה,713,05:47:00,823.0,70.0
2026,1,יום חול,4600,השלום,429,05:47:00,332.0,12.0
2026,1,יום חול,9650,נתיבות,609,05:47:00,59.0,14.0
2026,1,שישי,4900,תל אביב ההגנה,6715,05:47:00,289.0,5.0
2026,1,שישי,9650,נתיבות,6843,05:47:00,4.0,0.0
2026,1,שישי,3700,תל אביב מרכז,6121,05:47:00,79.0,0.0
2026,1,שישי,4690,בת ים קוממיות,6611,05:47:00,15.0,7.0
2026,1,יום חול,4900,תל אביב ההגנה,611,05:47:00,1392.0,47.0
2025,12,יום חול,1600,,103,05:48:00,,
2025,12,יום חול,3700,תל אביב מרכז,501,05:48:00,143.0,0.0
2025,12,יום חול,4900,תל אביב ההגנה,100,05:48:00,346.0,391.0
2025,12,יום חול,4900,,100,05:48:00,,
2025,12,יום חול,3700,,501,05:48:00,,
2025,12,שישי,5010,רמלה,6019,05:48:00,5.0,3.0
2025,12,שישי,4600,השלום,6616,05:48:00,28.0,25.0
2026,1,יום חול,1260,,59,05:48:00,,
2026,1,יום חול,3700,,501,05:48:00,,
2026,1,יום חול,3700,תל אביב מרכז,501,05:48:00,81.0,0.0
2026,1,יום חול,3700,תל אביב מרכז,1501,05:48:00,11.0,4.0
2026,1,יום חול,4900,תל אביב ההגנה,100,05:48:00,466.0,349.0
2026,1,שישי,4600,השלום,6616,05:48:00,17.0,40.0
2026,1,שישי,5010,רמלה,6019,05:48:00,17.0,13.0
2025,12,יום חול,1400,קרית מוצקין,1010,05:49:00,18.0,39.0
2025,12,יום חול,6300,,502,05:49:00,,
2025,12,שישי,3100,חדרה מערב,6220,05:49:00,5.0,34.0
2026,1,יום חול,1400,קרית מוצקין,1010,05:49:00,10.0,17.0
