FromStationName,ToStationName,Month,Year,SUM_Values_Pass
עפולה,עתלית,10,2025,212
עכו,סגולה,11,2025,150
"רשל""צ משה דיין",אחיהוד,11,2025,39
חוצות מפרץ,חוף הכרמל,11,2025,518
סגולה,באר שבע מרכז,11,2025,548
באר שבע מרכז,מרכזית המפרץ/קו החוף,10,2025,3232
באר שבע צפון,קרית אריה,10,2025,439
יבנה מזרח,בני ברק,10,2025,15
אשקלון,ירושלים/יצחק נבון,11,2025,1674
נהריה,בית יהושע,11,2025,475
אשדוד עד הלום,ראש העין צפון,10,2025,676
כפר יהושע,בת ים קוממיות,10,2025,17
באר יעקב,עפולה,10,2025,36
צומת חולון,מודיעין מרכז,10,2025,35
עכו,דימונה,10,2025,1
חיפה מרכז,רחובות,11,2025,530
מודיעין מרכז,תל אביב מרכז,10,2025,10803
מרכזית המפרץ/קו החוף,רעננה מערב,10,2025,169
תא אוניברסיטה,כפר חבד,11,2025,2421
בת ים קוממיות,חולון וולפסון,11,2025,144
בת גלים,קרית אריה,11,2025,344
כפר יהושע,רחובות,11,2025,75
עתלית,בית שמש,10,2025,21
קרית אריה,בית שאן,11,2025,79
בת ים יוספטל,רעננה דרום,11,2025,330
להבים רהט,בית יהושע,10,2025,139
הרצליה,רעננה מערב,10,2025,368
רמלה,חיפה מרכז,10,2025,324
ראש העין צפון,לוד,11,2025,147
דימונה,כפר יהושע,10,2025,1
מודיעין מרכז,תל אביב ההגנה,10,2025,6078
קרית גת,כרמיאל,10,2025,401
עכו,קרית אריה,11,2025,215
באר שבע מרכז,חולון וולפסון,11,2025,489
לוד גני אביב,הוד השרון,11,2025,40
נתניה קריית ספיר,תא אוניברסיטה,11,2025,2870
בת ים קוממיות,בת ים יוספטל,10,2025,67
השלום,חולון וולפסון,11,2025,2067
חולון וולפסון,עפולה,10,2025,34
רעננה מערב,אשדוד עד הלום,11,2025,407
באר שבע צפון,רעננה מערב,10,2025,155
סגולה,בית שאן,11,2025,46
אחיהוד,רחובות,10,2025,29
"נתב""ג",רמלה,10,2025,239
בת גלים,חיפה מרכז,10,2025,395
קרית מלאכי,אופקים,11,2025,42
אשקלון,צומת חולון,10,2025,613
רעננה דרום,נהריה,11,2025,163
באר יעקב,לוד,11,2025,1076
רמלה,קרית גת,10,2025,1153
קרית מוצקין,נתיבות,11,2025,87
קרית חיים,יבנה מערב,10,2025,69
מזכרת בתיה,רמלה,10,2025,208
הוד השרון,באר יעקב,11,2025,57
מרכזית המפרץ/קו החוף,עכו,11,2025,11630
בת ים יוספטל,הוד השרון,10,2025,389
רחובות,מודיעין מרכז,11,2025,246
פאתי מודיעין,בית שמש,11,2025,13
בית שאן,עפולה,10,2025,1509
נתניה קריית ספיר,בנימינה,10,2025,2276
חולון וולפסון,בת גלים,10,2025,187
רעננה דרום,רעננה מערב,11,2025,76
עכו,חוף הכרמל,11,2025,4384
קיסריה פרדס חנה,תל אביב מרכז,10,2025,10330
קרית אריה,חוף הכרמל,11,2025,1357
שדרות,יבנה מערב,10,2025,734
הוד השרון,נתיבות,11,2025,99
נתניה קריית ספיר,דימונה,10,2025,2
