FromStationName,ToStationName,Month,Year,SUM_Values_Pass
יבנה מערב,עתלית,2,2026,77
ראש העין צפון,רמלה,2,2026,148
אשקלון,בת ים קוממיות,2,2026,1549
תל אביב מרכז,לוד,2,2026,13466
ירושלים/יצחק נבון,תא אוניברסיטה,2,2026,21042
נתיבות,כפר יהושע,2,2026,6
רעננה מערב,בת ים יוספטל,2,2026,325
קרית מלאכי,אחיהוד,2,2026,3
מרכזית המפרץ/קו החוף,אחיהוד,2,2026,1926
ראשונים,אופקים,2,2026,10
חיפה מרכז,כפר יהושע,2,2026,1390
יבנה מזרח,פאתי מודיעין,2,2026,13
חיפה מרכז,קרית מלאכי,2,2026,102
שדרות,"נתב""ג",2,2026,450
אשדוד עד הלום,הוד השרון,2,2026,523
מזכרת בתיה,דימונה,2,2026,6
מרכזית המפרץ/קו החוף,בנימינה,2,2026,3554
השלום,באר יעקב,2,2026,14460
הוד השרון,רעננה מערב,2,2026,568
צומת חולון,כפר חבד,2,2026,7
דימונה,חוצות מפרץ,2,2026,1
שדרות,נתניה קריית ספיר,2,2026,117
ראשונים,סגולה,2,2026,6
קרית גת,"נתב""ג",2,2026,808
חיפה מרכז,קרית מוצקין,2,2026,2858
בת גלים,חדרה מערב,2,2026,1853
קרית גת,תל אביב מרכז,2,2026,6940
בת ים קוממיות,נהריה,2,2026,175
חולון וולפסון,השלום,2,2026,2117
באר שבע צפון,חוף הכרמל,2,2026,1696
בני ברק,כפר חבד,2,2026,128
בת גלים,אשדוד עד הלום,2,2026,647
אשקלון,אחיהוד,2,2026,31
נתניה קריית ספיר,אשדוד עד הלום,2,2026,1042
ראשונים,בני ברק,2,2026,10
חוף הכרמל,קרית אריה,2,2026,1123
בנימינה,יבנה מערב,2,2026,684
בת ים קוממיות,קיסריה פרדס חנה,2,2026,97
חוצות מפרץ,להבים רהט,2,2026,12
תל אביב ההגנה,תל אביב מרכז,2,2026,4487
אשדוד עד הלום,מזכרת בתיה,2,2026,15
רעננה מערב,חוף הכרמל,2,2026,441
השלום,באר שבע מרכז,2,2026,11995
רעננה דרום,ירושלים/יצחק נבון,2,2026,1249
אשקלון,מודיעין מרכז,2,2026,441
"נתב""ג",חדרה מערב,2,2026,4047
שדרות,מודיעין מרכז,2,2026,160
אשקלון,חדרה מערב,2,2026,1143
תל אביב מרכז,באר יעקב,2,2026,9516
כפר חבד,יבנה מזרח,2,2026,134
כפר חבד,יבנה מערב,2,2026,13
מרכזית המפרץ/קו החוף,ראש העין צפון,2,2026,596
חולון וולפסון,אשקלון,2,2026,2024
השלום,כפר חבד,2,2026,6069
עתלית,ראשונים,2,2026,3
יבנה מזרח,נתניה,2,2026,512
נהריה,חיפה מרכז,2,2026,8518
סגולה,אחיהוד,2,2026,8
